	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	average
# episodes	112 	218 	125 	85 	329 	89 	99 	160 	126 	67 	132 	235 	345 	128 	156 	158 	284 	69 	158 	327 	158 	65 	142 	110 	125 	129 	102 	241 	125 	125.0 
Total time (h)	1.0 	1.0 	0.7 	2.1 	2.8 	1.3 	0.7 	1.0 	1.3 	0.8 	1.2 	4.9 	4.6 	1.4 	1.2 	1.7 	4.9 	1.0 	1.2 	6.3 	2.2 	1.8 	1.6 	1.9 	2.9 	1.6 	1.5 	8.5 	3.1 	3.1 
Total reward	-481822 	-665628 	-401846 	-618193 	-941387 	-442142 	-456005 	-879031 	-235383 	-134498 	-817118 	-21187945 	-1983352 	-553706 	-365516 	-421392 	-341037 	-188168 	-475932 	-1655185 	-1283051 	-696367 	-391072 	-226670 	-1062064 	-373794 	-129548 	-494263 	-1261705 	-1261705.0 
Max reward value	25.4 	25.4 	25.3 	25.4 	25.5 	25.4 	25.4 	25.3 	25.4 	25.4 	25.4 	25.5 	25.5 	25.3 	25.2 	25.4 	25.5 	25.4 	25.3 	25.5 	25.3 	25.4 	25.3 	25.5 	25.3 	25.4 	25.4 	25.5 	25.3 	25.3 
Min reward value	-107.3 	-109.8 	-114.5 	-102.0 	-682.8 	-215.9 	-104.7 	-109.3 	-107.7 	-102.7 	-104.5 	-6448.9 	-124.5 	-137.9 	-102.6 	-111.4 	-169.7 	-106.5 	-172.7 	-116.8 	-106.4 	-1013.4 	-105.8 	-107.6 	-108.3 	-108.5 	-104.9 	-695.8 	-707.0 	-707.0 

OpponentsLeft_carCloseToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_carToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_carFarToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_leftFree	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	
OpponentsLeft_default	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carCloseAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carFarAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_frontFree	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	
OpponentsAhead_default	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
