	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	average
# episodes	103 	119 	73 	139 	164 	190 	231 	56 	117 	94 	183 	149 	149 	102 	142 	122 	115 	115.0 
Total time (h)	0.6 	0.7 	0.6 	1.4 	0.7 	1.1 	1.4 	0.6 	1.0 	0.9 	1.9 	1.0 	1.4 	1.0 	1.3 	2.2 	0.9 	0.9 
Total reward	-235723 	-371689 	-534618 	-573848 	-580084 	-644990 	-1104376 	-312350 	-527002 	-416617 	-1319329 	-534759 	-344131 	-356770 	-619499 	-1548554 	-285352 	-285352.0 
Max reward value	29.8 	29.7 	29.7 	29.7 	29.7 	29.8 	29.7 	29.7 	29.7 	29.7 	29.9 	29.7 	29.9 	29.8 	29.9 	29.9 	29.7 	29.7 
Min reward value	-125.7 	-148.2 	-152.2 	-185.1 	-165.6 	-155.2 	-158.4 	-149.6 	-155.5 	-161.4 	-152.8 	-149.6 	-153.8 	-153.1 	-150.3 	-146.9 	-165.9 	-165.9 

OpponentsLeft_carCloseToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_carToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_carFarToTheLeft	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsLeft_leftFree	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	
OpponentsLeft_default	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carCloseAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_carFarAhead	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
OpponentsAhead_frontFree	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	
OpponentsAhead_default	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	
